

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: 4.700000000000028; player life: 37.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 196

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 139

RUN: run status: enemy: 5; fitness: 7.100000000000033; player life: 61.000000000000334; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 457

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 326

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 722

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 208

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 159

RUN: run status: enemy: 5; fitness: 10.580000000000004; player life: 95.80000000000004; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 394

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 332

RUN: run status: enemy: 5; fitness: 1.0; player life: 0; enemy life: 100; time: 449

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 5; fitness: 5.9000000000000306; player life: 49.000000000000306; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 200

RUN: run status: enemy: 5; fitness: 7.100000000000033; player life: 61.000000000000334; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 454

RUN: run status: enemy: 2; fitness: 19.0; player life: 0; enemy life: 80.0; time: 546

RUN: run status: enemy: 5; fitness: 73.0; player life: 0; enemy life: 20.0; time: 605

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 191

RUN: run status: enemy: 2; fitness: 64.0; player life: 0; enemy life: 30.0; time: 332

RUN: run status: enemy: 5; fitness: 55.0; player life: 0; enemy life: 40.0; time: 398

RUN: run status: enemy: 8; fitness: 10.0; player life: 0; enemy life: 90.0; time: 196

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 317

RUN: run status: enemy: 5; fitness: 7.280000000000034; player life: 62.80000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 8; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 2; fitness: 94.6; player life: 36; enemy life: 0; time: 151

RUN: run status: enemy: 5; fitness: 22.520000000000028; player life: 35.20000000000027; enemy life: 80.0; time: 1000

RUN: run status: enemy: 8; fitness: 37.0; player life: 0; enemy life: 60.0; time: 352

RUN: run status: enemy: 2; fitness: 1.0; player life: 0; enemy life: 100; time: 324

RUN: run status: enemy: 5; fitness: 7.580000000000033; player life: 65.80000000000032; enemy life: 100; time: 1000

