

MESSAGE: Pygame initialized for simulation.

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 330

RUN: run status: enemy: 7; fitness: 37.0; player life: 0; enemy life: 60.0; time: 304

RUN: run status: enemy: 4; fitness: 28.0; player life: 0; enemy life: 70.0; time: 219

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 70

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 310

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 270

RUN: run status: enemy: 7; fitness: 10.0; player life: 0; enemy life: 90.0; time: 307

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 155

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 222

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 427

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 143

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 344

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 233

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 157

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 235

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 220

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 276

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 238

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 294

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 341

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 314

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 232

RUN: run status: enemy: 3; fitness: 10.0; player life: 0; enemy life: 90.0; time: 155

RUN: run status: enemy: 7; fitness: 10.0; player life: 0; enemy life: 90.0; time: 240

RUN: run status: enemy: 4; fitness: 10.0; player life: 0; enemy life: 90.0; time: 192

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 53

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 325

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 142

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 300

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 15

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 404

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 262

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 234

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 858

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 342

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 304

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 441

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 343

RUN: run status: enemy: 7; fitness: 10.0; player life: 0; enemy life: 90.0; time: 345

RUN: run status: enemy: 4; fitness: 1.0; player life: 0; enemy life: 100; time: 1063

RUN: run status: enemy: 3; fitness: 19.0; player life: 0; enemy life: 80.0; time: 526

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 17

RUN: run status: enemy: 4; fitness: 28.0; player life: 0; enemy life: 70.0; time: 260

RUN: run status: enemy: 3; fitness: 55.0; player life: 0; enemy life: 40.0; time: 339

RUN: run status: enemy: 7; fitness: 73.0; player life: 0; enemy life: 20.0; time: 168

RUN: run status: enemy: 4; fitness: 37.0; player life: 0; enemy life: 60.0; time: 305

RUN: run status: enemy: 3; fitness: 1.0; player life: 0; enemy life: 100; time: 70

RUN: run status: enemy: 7; fitness: 1.0; player life: 0; enemy life: 100; time: 382

